llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9329268292682927,0.9634146341463414,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9329268292682927,0.954878048780488,0.9628048780487806,0.98,0.9899999999999999,0.995
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.8414634146341463,0.9207317073170732,0.9451219512195121,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.8414634146341463,0.8853658536585365,0.9134146341463414,0.9536585365853659,0.9768292682926827,0.9884146341463415
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.7987804878048781,0.9024390243902439,0.9451219512195121,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.7987804878048781,0.8719512195121951,0.901219512195122,0.9426829268292682,0.9713414634146339,0.9856707317073174
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.7378048780487805,0.9146341463414634,0.9146341463414634,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5426829268292683,0.6792682926829265,0.7487804878048782,0.831951219512195,0.8923170731707317,0.9368292682926826,0.7378048780487805,0.8402439024390245,0.8774390243902438,0.904878048780488,0.9287804878048779,0.9550609756097561
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.36585365853658536,0.49390243902439024,0.5,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.18902439024390244,0.2792682926829268,0.33597560975609764,0.4192682926829269,0.5020731707317072,0.5885365853658535,0.36585365853658536,0.4451219512195121,0.471951219512195,0.48975609756097577,0.5373170731707317,0.6061585365853656
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9390243902439024,0.9695121951219512,0.9817073170731707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9390243902439024,0.9560975609756098,0.9646341463414634,0.9804878048780487,0.9902439024390243,0.9951219512195123
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.8475609756097561,0.926829268292683,0.9512195121951219,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219513,0.9997560975609755,0.9998780487804879,0.8475609756097561,0.8951219512195122,0.9176829268292681,0.9553658536585367,0.9776829268292682,0.9888414634146342
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.7804878048780488,0.9024390243902439,0.926829268292683,1.0,1.0,1.0,0.9207317073170732,0.976829268292683,0.9884146341463416,0.9953658536585367,0.9976829268292682,0.9988414634146342,0.7804878048780488,0.8695121951219512,0.8945121951219511,0.9417073170731707,0.9708536585365852,0.985426829268293
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.7134146341463414,0.8841463414634146,0.8902439024390244,0.9024390243902439,0.9634146341463414,1.0,0.5304878048780488,0.6707317073170731,0.728658536585366,0.8129268292682925,0.8787804878048777,0.9292073170731708,0.7134146341463414,0.8207317073170728,0.8536585365853661,0.8809756097560975,0.9128048780487803,0.946219512195122
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.4329268292682927,0.5304878048780488,0.5548780487804879,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.21341463414634146,0.29756097560975614,0.3628048780487804,0.4553658536585369,0.5270731707317071,0.600792682926829,0.4329268292682927,0.4999999999999999,0.527439024390244,0.5460975609756095,0.572439024390244,0.6234756097560975
