llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.86,0.95,0.96,1.0,1.0,1.0,0.986,0.9972000000000002,0.9985999999999999,0.99944,0.99972,0.9998600000000001,0.86,0.9212000000000005,0.9391999999999998,0.9629599999999995,0.9814800000000006,0.9907400000000002
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.622,0.87,0.914,0.952,0.966,0.982,0.614,0.83,0.868,0.952,0.966,0.982,0.622,0.783200000000001,0.8397999999999995,0.8963999999999992,0.9282800000000002,0.9527600000000013,0.614,0.7480000000000007,0.8045999999999998,0.8645599999999999,0.9123600000000003,0.9448000000000003
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.432,0.696,0.77,0.91,0.94,0.964,0.56,0.7100000000000005,0.7703999999999998,0.8407199999999992,0.8831199999999997,0.919980000000001,0.432,0.5908000000000004,0.6678000000000001,0.7815999999999995,0.85356,0.905200000000001
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.374,0.524,0.55,0.584,0.688,0.8,0.22,0.31720000000000004,0.39160000000000017,0.4869600000000003,0.5687999999999999,0.65908,0.374,0.4728000000000001,0.5074000000000002,0.5442400000000001,0.5974400000000002,0.6734000000000001
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.182,0.29,0.316,0.334,0.43,0.542,0.09,0.14639999999999995,0.18460000000000007,0.24935999999999978,0.32095999999999963,0.4072999999999999,0.182,0.2527999999999999,0.2804000000000001,0.30983999999999984,0.35119999999999996,0.4224199999999998
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,0.976,1.0,1.0,1.0,1.0,1.0,0.844,0.952,0.964,1.0,1.0,1.0,0.976,0.9948000000000001,0.9974,0.9989600000000001,0.9994799999999999,0.9997400000000002,0.844,0.9160000000000005,0.9381999999999995,0.9633599999999992,0.9816800000000006,0.9908400000000005
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.608,0.872,0.904,0.956,0.982,0.988,0.632,0.838,0.882,0.956,0.982,0.988,0.608,0.7768000000000008,0.8351999999999997,0.8960799999999997,0.93324,0.9590800000000017,0.632,0.7596000000000007,0.8143999999999998,0.8750399999999998,0.9227199999999998,0.9538200000000013
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.552,0.794,0.868,0.922,0.952,0.97,0.45,0.686,0.782,0.922,0.952,0.97,0.552,0.7104000000000007,0.7791999999999998,0.8540799999999993,0.8965200000000002,0.9299400000000011,0.45,0.5912000000000005,0.6671999999999995,0.7866399999999997,0.8627999999999999,0.9130800000000013
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.19,0.382,0.512,0.61,0.702,0.796,0.398,0.538,0.572,0.61,0.702,0.796,0.19,0.29919999999999997,0.3882000000000002,0.4966399999999999,0.5804799999999999,0.6673000000000002,0.398,0.4840000000000001,0.5232000000000002,0.5664,0.6153599999999999,0.6847400000000005
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.084,0.184,0.24,0.344,0.43,0.56,0.186,0.292,0.322,0.344,0.43,0.56,0.084,0.13839999999999997,0.1806,0.25584,0.32503999999999994,0.4162800000000002,0.186,0.2527999999999999,0.28240000000000026,0.31695999999999996,0.3556,0.43156000000000017
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,0.984,1.0,1.0,1.0,1.0,1.0,0.956,1.0,1.0,1.0,1.0,1.0,0.984,0.9968,0.9983999999999998,0.9993599999999999,0.99968,0.9998400000000002,0.956,0.9888000000000005,0.9943999999999996,0.9977599999999996,0.9988800000000002,0.9994400000000003
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.672,0.874,0.904,0.952,0.966,0.982,0.624,0.7832000000000009,0.8397999999999995,0.8963999999999992,0.9282800000000002,0.9527600000000013,0.672,0.8040000000000007,0.8487999999999996,0.894799999999999,0.9274800000000005,0.9523600000000008
