llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.952,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.952,0.998,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.952,0.998,0.998,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.366,0.87,0.914,0.952,0.966,0.982
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.34,0.622,0.914,0.952,0.966,0.982
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.334,0.464,0.584,0.952,0.966,0.982
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.45,0.802,0.854,0.91,0.94,0.964
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.456,0.746,0.854,0.91,0.94,0.964
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.454,0.736,0.808,0.91,0.94,0.964
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.15,0.398,0.49,0.584,0.688,0.8
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,10,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.116,0.362,0.49,0.584,0.688,0.8
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.076,0.242,0.418,0.584,0.688,0.8
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.054,0.186,0.236,0.334,0.43,0.542
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,10,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.044,0.122,0.236,0.334,0.43,0.542
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.042,0.092,0.144,0.334,0.43,0.542
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,5,100,0.7,0.978,1.0,1.0,1.0,1.0,1.0,0.944,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,10,100,0.7,0.978,1.0,1.0,1.0,1.0,1.0,0.944,0.998,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,0.978,1.0,1.0,1.0,1.0,1.0,0.944,0.998,0.998,1.0,1.0,1.0
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,5,100,0.7,0.606,0.87,0.904,0.956,0.982,0.988,0.352,0.87,0.904,0.956,0.982,0.988
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,10,100,0.7,0.606,0.872,0.904,0.956,0.982,0.988,0.33,0.612,0.904,0.956,0.982,0.988
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.606,0.872,0.904,0.956,0.982,0.988,0.33,0.464,0.564,0.956,0.982,0.988
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,5,100,0.7,0.552,0.796,0.868,0.922,0.952,0.97,0.452,0.796,0.868,0.922,0.952,0.97
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,10,100,0.7,0.552,0.796,0.868,0.922,0.952,0.97,0.448,0.75,0.868,0.922,0.952,0.97
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.552,0.796,0.868,0.922,0.952,0.97,0.444,0.724,0.802,0.922,0.952,0.97
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,5,100,0.7,0.192,0.382,0.512,0.61,0.702,0.796,0.134,0.382,0.512,0.61,0.702,0.796
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,10,100,0.7,0.192,0.382,0.512,0.61,0.702,0.796,0.102,0.35,0.512,0.61,0.702,0.796
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.192,0.382,0.512,0.61,0.702,0.796,0.074,0.216,0.398,0.61,0.702,0.796
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,5,100,0.7,0.084,0.182,0.24,0.344,0.43,0.56,0.044,0.182,0.24,0.344,0.43,0.56
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,10,100,0.7,0.084,0.182,0.24,0.344,0.43,0.56,0.044,0.134,0.24,0.344,0.43,0.56
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.084,0.182,0.24,0.344,0.43,0.56,0.048,0.102,0.148,0.344,0.43,0.56
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.946,0.996,1.0,1.0,1.0,1.0
