query_id,true_id,k,order_type,retrieved_docs,generated_code,pass@1,result_details
0,HumanEval/0,0,normal,[],"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(1, len(numbers)):
        if numbers[i] - numbers[i-1] < threshold:
            return True
    return False",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
0,HumanEval/0,1,normal,['HumanEval/0'],"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(1, len(numbers)):
        if numbers[i] - numbers[i-1] < threshold:
            return True
    return False",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
0,HumanEval/0,5,normal,"['HumanEval/0', 'HumanEval/52', '433', 'HumanEval/3', 'HumanEval/26']","from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(1, len(numbers)):
        if numbers[i] - numbers[i - 1] < threshold:
            return True
    return False",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
0,HumanEval/0,10,normal,"['HumanEval/0', 'HumanEval/52', '433', 'HumanEval/3', 'HumanEval/26', 'HumanEval/21', 'HumanEval/25', 'HumanEval/7', '342', 'HumanEval/20']","from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(1, len(numbers)):
        if numbers[i] - numbers[i-1] < threshold:
            return True
    return False",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
1,HumanEval/1,0,normal,[],"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace(' ', '')
    result = []
    temp = ''
    count = 0
    for char in paren_string:
        temp += char
        if char == '(':
            count += 1
        else:
            count -= 1
        if count == 0:
            result.append(temp)
            temp = ''
    return result",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
1,HumanEval/1,1,normal,['HumanEval/6'],"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    temp = ''
    count = 0
    for char in paren_string.replace(' ', ''):
        temp += char
        if char == '(':
            count += 1
        else:
            count -= 1
        if count == 0:
            result.append(temp)
            temp = ''
    return result",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
1,HumanEval/1,5,normal,"['HumanEval/6', '305', '157', 'HumanEval/17', 'HumanEval/19']","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    temp = ''
    count = 0
    for char in paren_string.replace(' ', ''):
        temp += char
        if char == '(':
            count += 1
        else:
            count -= 1
        if count == 0:
            result.append(temp)
            temp = ''
    return result",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
1,HumanEval/1,10,normal,"['HumanEval/6', '305', '157', 'HumanEval/17', 'HumanEval/19', '374', '778', '73', 'HumanEval/1', 'HumanEval/29']","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    temp = ''
    count = 0
    for char in paren_string.replace(' ', ''):
        temp += char
        if char == '(':
            count += 1
        else:
            count -= 1
        if count == 0:
            result.append(temp)
            temp = ''
    return result",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
2,HumanEval/2,0,normal,[],"def truncate_number(number: float) -> float:
    return number - int(number)",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
2,HumanEval/2,1,normal,['HumanEval/99'],"def truncate_number(number: float) -> float:
    return number - int(number)",1.0,"defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': True, 'result': 'passed', 'completion_id': 0})]})"
