llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,10,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.9878048780487805,0.9951219512195123,0.9975609756097561,0.9990243902439024,0.9995121951219511,0.9997560975609756
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,10,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.9878048780487805,0.9951219512195123,0.9975609756097561,0.9990243902439024,0.9995121951219511,0.9997560975609756
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.9878048780487805,0.9951219512195123,0.9975609756097561,0.9990243902439024,0.9995121951219511,0.9997560975609756
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.6036585365853658,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.6036585365853658,0.8170731707317072,0.8993902439024394,0.9565853658536578,0.9782926829268286,0.9891463414634144
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,10,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.573170731707317,0.7987804878048781,0.9817073170731707,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.573170731707317,0.7012195121951217,0.8134146341463416,0.9221951219512194,0.9610975609756096,0.9805487804878044
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.5609756097560976,0.7134146341463414,0.8048780487804879,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.5609756097560976,0.6536585365853657,0.7128048780487806,0.8409756097560975,0.9204878048780488,0.9602439024390241
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.6585365853658537,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5426829268292683,0.6792682926829265,0.7487804878048782,0.831951219512195,0.8923170731707317,0.9368292682926826,0.6585365853658537,0.7317073170731707,0.775,0.8424390243902441,0.8975609756097563,0.9394512195121947
