llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,pseudocode_recall@1,pseudocode_recall@5,pseudocode_recall@10,pseudocode_recall@25,pseudocode_recall@50,pseudocode_recall@100,combined_recall@1,combined_recall@5,combined_recall@10,combined_recall@25,combined_recall@50,combined_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.25609756097560976,0.2804878048780488,0.2926829268292683,0.3048780487804878,0.3170731707317073,0.3170731707317073,0.2865853658536585,0.3048780487804878,0.3048780487804878,0.3048780487804878,0.3170731707317073,0.3170731707317073
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.27439024390243905,0.2865853658536585,0.3048780487804878,0.31097560975609756,0.3231707317073171,0.3597560975609756,0.2865853658536585,0.3048780487804878,0.3048780487804878,0.31097560975609756,0.3231707317073171,0.3597560975609756
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.21951219512195122,0.2682926829268293,0.2804878048780488,0.2926829268292683,0.3170731707317073,0.36585365853658536,0.2865853658536585,0.2926829268292683,0.2926829268292683,0.2926829268292683,0.3170731707317073,0.36585365853658536
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.17682926829268292,0.23170731707317074,0.23780487804878048,0.27439024390243905,0.2926829268292683,0.3353658536585366,0.20121951219512196,0.23170731707317074,0.23170731707317074,0.27439024390243905,0.2926829268292683,0.3353658536585366
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.06097560975609756,0.11585365853658537,0.18292682926829268,0.20121951219512196,0.24390243902439024,0.3048780487804878,0.042682926829268296,0.06707317073170732,0.10365853658536585,0.20121951219512196,0.24390243902439024,0.3048780487804878
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.25609756097560976,0.2804878048780488,0.2926829268292683,0.2926829268292683,0.3048780487804878,0.3597560975609756,0.2804878048780488,0.2926829268292683,0.2926829268292683,0.2926829268292683,0.3048780487804878,0.3597560975609756
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.24390243902439024,0.2804878048780488,0.2804878048780488,0.31097560975609756,0.34146341463414637,0.3597560975609756,0.2804878048780488,0.3048780487804878,0.3048780487804878,0.31097560975609756,0.34146341463414637,0.3597560975609756
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.2073170731707317,0.25609756097560976,0.2621951219512195,0.29878048780487804,0.3170731707317073,0.3719512195121951,0.2682926829268293,0.2926829268292683,0.29878048780487804,0.29878048780487804,0.3170731707317073,0.3719512195121951
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.1402439024390244,0.23170731707317074,0.2621951219512195,0.2804878048780488,0.3170731707317073,0.34146341463414637,0.21341463414634146,0.23780487804878048,0.23780487804878048,0.2804878048780488,0.3170731707317073,0.34146341463414637
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.04878048780487805,0.11585365853658537,0.15853658536585366,0.2073170731707317,0.24390243902439024,0.3048780487804878,0.06707317073170732,0.10975609756097561,0.1402439024390244,0.2073170731707317,0.24390243902439024,0.3048780487804878
