llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100,baseline_ndcg@1,baseline_ndcg@5,baseline_ndcg@10,baseline_ndcg@25,baseline_ndcg@50,baseline_ndcg@100,reranked_ndcg@1,reranked_ndcg@5,reranked_ndcg@10,reranked_ndcg@25,reranked_ndcg@50,reranked_ndcg@100,baseline_mrr,reranked_mrr
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9977495716681186,0.9977495716681186,0.9977495716681186,0.9977495716681186,0.9977495716681186,1.0,0.9969512195121951
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9987804878048782,0.999390243902439,0.9997560975609756,0.9998780487804877,0.999939024390244,1.0,1.0,1.0,1.0,1.0,1.0,0.9939024390243902,0.9977495716681186,0.9977495716681186,0.9977495716681186,0.9977495716681186,0.9977495716681186,1.0,0.9969512195121951
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.9878048780487805,0.9951219512195123,0.9975609756097561,0.9990243902439024,0.9995121951219511,0.9997560975609756,0.9878048780487805,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9878048780487805,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9939024390243902,0.9923780487804879
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9975609756097562,0.9987804878048782,0.9995121951219511,0.9997560975609756,0.9998780487804879,0.9878048780487805,0.9951219512195123,0.9975609756097561,0.9990243902439024,0.9995121951219511,0.9997560975609756,0.9878048780487805,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9954991433362372,0.9878048780487805,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9942780872661271,0.9939024390243902,0.9923780487804879
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.6036585365853658,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.6036585365853658,0.8170731707317072,0.8993902439024394,0.9565853658536578,0.9782926829268286,0.9891463414634144,0.9207317073170732,0.9560096251306628,0.9560096251306628,0.9607244066571199,0.9607244066571199,0.9607244066571199,0.6036585365853658,0.7992902208718388,0.7992902208718388,0.8040050023982958,0.8040050023982958,0.8040050023982958,0.9485171840354768,0.740590354767184
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.5609756097560976,0.7134146341463414,0.8048780487804879,1.0,1.0,1.0,0.9207317073170732,0.9646341463414632,0.9731707317073172,0.9860975609756094,0.993048780487805,0.9965243902439023,0.5609756097560976,0.6536585365853657,0.7128048780487806,0.8409756097560975,0.9204878048780488,0.9602439024390241,0.9207317073170732,0.9560096251306628,0.9560096251306628,0.9607244066571199,0.9607244066571199,0.9607244066571199,0.5609756097560976,0.642592062530049,0.6721226328625021,0.7196950097560432,0.7196950097560432,0.7196950097560432,0.9485171840354768,0.6433279876078432
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.6585365853658537,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5426829268292683,0.6792682926829265,0.7487804878048782,0.831951219512195,0.8923170731707317,0.9368292682926826,0.6585365853658537,0.7317073170731707,0.775,0.8424390243902441,0.8975609756097563,0.9394512195121947,0.5426829268292683,0.6651655990958749,0.6852093577855197,0.7072021610205818,0.7144125287173141,0.7193755847182268,0.6585365853658537,0.7219544665578754,0.7419982252475202,0.7639910284825825,0.7712013961793149,0.7761644521802276,0.6444620072187737,0.7198685112838145
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.6951219512195121,0.8597560975609756,0.8963414634146342,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5426829268292683,0.6792682926829265,0.7487804878048782,0.831951219512195,0.8923170731707317,0.9368292682926826,0.6951219512195121,0.8060975609756095,0.8493902439024392,0.8895121951219512,0.9210975609756098,0.9512195121951219,0.5426829268292683,0.6651655990958749,0.6852093577855197,0.7072021610205818,0.7144125287173141,0.7193755847182268,0.6951219512195121,0.7874562730794302,0.8000698191850647,0.8075890891177482,0.8147994568144807,0.8197625128153935,0.6444620072187737,0.7721059532780166
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.2865853658536585,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.18902439024390244,0.2792682926829268,0.33597560975609764,0.4192682926829269,0.5020731707317072,0.5885365853658535,0.2865853658536585,0.3195121951219512,0.35609756097560985,0.4273170731707318,0.5060975609756098,0.5905487804878048,0.18902439024390244,0.2697954351894809,0.29705093369263275,0.3164356753952618,0.3402084398076422,0.35491534084237975,0.2865853658536585,0.31515133496911313,0.34240683347226497,0.361791575174894,0.38556433958727443,0.4002712406220119,0.2669725830065511,0.32733843666508766
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.3170731707317073,0.4329268292682927,0.4634146341463415,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.18902439024390244,0.2792682926829268,0.33597560975609764,0.4192682926829269,0.5020731707317072,0.5885365853658535,0.3170731707317073,0.38292682926829263,0.4189024390243903,0.45560975609756105,0.5202439024390244,0.597621951219512,0.18902439024390244,0.2697954351894809,0.29705093369263275,0.3164356753952618,0.3402084398076422,0.35491534084237975,0.3170731707317073,0.3772035319551357,0.38723020343959585,0.3970751021501632,0.4208478665625436,0.4355547675972809,0.2669725830065511,0.3702027778888492
