llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,pseudocode_recall@1,pseudocode_recall@5,pseudocode_recall@10,pseudocode_recall@25,pseudocode_recall@50,pseudocode_recall@100,combined_recall@1,combined_recall@5,combined_recall@10,combined_recall@25,combined_recall@50,combined_recall@100
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.2682926829268293,0.2804878048780488,0.2865853658536585,0.29878048780487804,0.3170731707317073,0.3170731707317073,0.2804878048780488,0.29878048780487804,0.29878048780487804,0.29878048780487804,0.3170731707317073,0.3170731707317073
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.2682926829268293,0.2865853658536585,0.3048780487804878,0.3170731707317073,0.32926829268292684,0.36585365853658536,0.29878048780487804,0.31097560975609756,0.31097560975609756,0.3170731707317073,0.32926829268292684,0.36585365853658536
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.23170731707317074,0.27439024390243905,0.2804878048780488,0.29878048780487804,0.3170731707317073,0.3780487804878049,0.2865853658536585,0.29878048780487804,0.29878048780487804,0.29878048780487804,0.3170731707317073,0.3780487804878049
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.18292682926829268,0.23170731707317074,0.25609756097560976,0.2804878048780488,0.29878048780487804,0.3353658536585366,0.2073170731707317,0.23170731707317074,0.23780487804878048,0.2804878048780488,0.29878048780487804,0.3353658536585366
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.06707317073170732,0.10975609756097561,0.17073170731707318,0.2073170731707317,0.23170731707317074,0.3048780487804878,0.054878048780487805,0.06707317073170732,0.10365853658536585,0.2073170731707317,0.23170731707317074,0.3048780487804878
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2926829268292683,0.2926829268292683,0.2926829268292683,0.3048780487804878,0.36585365853658536,0.27439024390243905,0.2926829268292683,0.2926829268292683,0.2926829268292683,0.3048780487804878,0.36585365853658536
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.25609756097560976,0.2804878048780488,0.2804878048780488,0.3170731707317073,0.34146341463414637,0.3597560975609756,0.29878048780487804,0.31097560975609756,0.31097560975609756,0.3170731707317073,0.34146341463414637,0.3597560975609756
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.22560975609756098,0.2621951219512195,0.2682926829268293,0.29878048780487804,0.3231707317073171,0.3719512195121951,0.2682926829268293,0.2926829268292683,0.29878048780487804,0.29878048780487804,0.3231707317073171,0.3719512195121951
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.14634146341463414,0.23780487804878048,0.2682926829268293,0.2865853658536585,0.31097560975609756,0.3353658536585366,0.22560975609756098,0.23780487804878048,0.24390243902439024,0.2865853658536585,0.31097560975609756,0.3353658536585366
meta-llama/Llama-3.1-70B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.054878048780487805,0.13414634146341464,0.16463414634146342,0.2073170731707317,0.23780487804878048,0.3048780487804878,0.07317073170731707,0.10365853658536585,0.12804878048780488,0.2073170731707317,0.23780487804878048,0.3048780487804878
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9390243902439024,0.9817073170731707,0.9878048780487805,1.0,1.0,1.0,0.9634146341463414,0.9939024390243902,0.9939024390243902,1.0,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.9024390243902439,0.975609756097561,0.975609756097561,0.9817073170731707,1.0,1.0,0.9329268292682927,0.975609756097561,0.9817073170731707,0.9817073170731707,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.9207317073170732,0.9817073170731707,0.9817073170731707,1.0,1.0,1.0,0.8170731707317073,0.9146341463414634,0.926829268292683,0.9573170731707317,0.975609756097561,0.9939024390243902,0.8597560975609756,0.9146341463414634,0.9451219512195121,0.9573170731707317,0.975609756097561,0.9939024390243902
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.5426829268292683,0.774390243902439,0.8353658536585366,0.926829268292683,0.9634146341463414,0.9939024390243902,0.5853658536585366,0.7378048780487805,0.8292682926829268,0.9024390243902439,0.9512195121951219,0.9695121951219512,0.7134146341463414,0.8597560975609756,0.8841463414634146,0.9024390243902439,0.9512195121951219,0.9695121951219512
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.18902439024390244,0.34146341463414637,0.4268292682926829,0.5060975609756098,0.6280487804878049,0.7195121951219512,0.20121951219512196,0.3475609756097561,0.4329268292682927,0.5426829268292683,0.676829268292683,0.7865853658536586,0.2804878048780488,0.4634146341463415,0.5121951219512195,0.5426829268292683,0.676829268292683,0.7865853658536586
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,none,25,100,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9146341463414634,0.9695121951219512,0.9695121951219512,0.9878048780487805,0.9939024390243902,0.9939024390243902,0.9451219512195121,0.9817073170731707,0.9817073170731707,0.9878048780487805,0.9939024390243902,0.9939024390243902
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,docstring,25,100,0.7,0.9878048780487805,1.0,1.0,1.0,1.0,1.0,0.8841463414634146,0.9634146341463414,0.975609756097561,0.9817073170731707,0.9817073170731707,0.9878048780487805,0.9512195121951219,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9878048780487805
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,variables,25,100,0.7,0.9207317073170732,1.0,1.0,1.0,1.0,1.0,0.7926829268292683,0.9085365853658537,0.9390243902439024,0.9573170731707317,0.9695121951219512,0.9695121951219512,0.8353658536585366,0.926829268292683,0.9451219512195121,0.9573170731707317,0.9695121951219512,0.9695121951219512
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,functions,25,100,0.7,0.5304878048780488,0.7621951219512195,0.8170731707317073,0.9024390243902439,0.9634146341463414,1.0,0.5304878048780488,0.725609756097561,0.823170731707317,0.9146341463414634,0.9329268292682927,0.9573170731707317,0.6463414634146342,0.8719512195121951,0.8963414634146342,0.9146341463414634,0.9329268292682927,0.9573170731707317
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-Embedding-v0,both,25,100,0.7,0.21341463414634146,0.3597560975609756,0.45121951219512196,0.5670731707317073,0.6280487804878049,0.7195121951219512,0.1951219512195122,0.36585365853658536,0.45121951219512196,0.5914634146341463,0.6707317073170732,0.7621951219512195,0.29878048780487804,0.5,0.5426829268292683,0.5914634146341463,0.6707317073170732,0.7621951219512195
