llm_model,embedding_model,normalization_type,rerank_k,initial_k,alpha,baseline_recall@1,baseline_recall@5,baseline_recall@10,baseline_recall@25,baseline_recall@50,baseline_recall@100,reranked_recall@1,reranked_recall@5,reranked_recall@10,reranked_recall@25,reranked_recall@50,reranked_recall@100,baseline_position_metric@1,baseline_position_metric@5,baseline_position_metric@10,baseline_position_metric@25,baseline_position_metric@50,baseline_position_metric@100,reranked_position_metric@1,reranked_position_metric@5,reranked_position_metric@10,reranked_position_metric@25,reranked_position_metric@50,reranked_position_metric@100,baseline_ndcg@1,baseline_ndcg@5,baseline_ndcg@10,baseline_ndcg@25,baseline_ndcg@50,baseline_ndcg@100,reranked_ndcg@1,reranked_ndcg@5,reranked_ndcg@10,reranked_ndcg@25,reranked_ndcg@50,reranked_ndcg@100,baseline_mrr,reranked_mrr
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,5,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,1.0,1.0,1.0,0.986,0.9972000000000002,0.9985999999999999,0.99944,0.99972,0.9998600000000001,0.946,0.9856000000000004,0.9927999999999995,0.9971199999999995,0.9985600000000004,0.9992800000000003,0.986,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.946,0.9783083203860828,0.9783083203860828,0.9783083203860828,0.9783083203860828,0.9783083203860828,0.993,0.9707999999999999
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,none,25,100,0.7,0.986,1.0,1.0,1.0,1.0,1.0,0.946,0.996,0.998,1.0,1.0,1.0,0.986,0.9972000000000002,0.9985999999999999,0.99944,0.99972,0.9998600000000001,0.946,0.9844000000000004,0.9907999999999995,0.9963199999999998,0.9981600000000003,0.9990800000000004,0.986,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.9948330165500004,0.946,0.9764990496500017,0.977129979403573,0.9776878652948754,0.9776878652948754,0.9776878652948754,0.993,0.9700984848484846
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,5,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.688,0.87,0.914,0.952,0.966,0.982,0.624,0.783600000000001,0.8399999999999995,0.8965599999999991,0.9283200000000001,0.9527800000000012,0.688,0.8096000000000005,0.8529999999999993,0.9017599999999995,0.93092,0.9540800000000011,0.624,0.7595040088457173,0.7735672931479954,0.7826775043461097,0.7853631269527925,0.7880122171101104,0.688,0.7907291679843672,0.804792452286645,0.8139026634847594,0.8165882860914423,0.8192373762487601,0.7308841449133989,0.7724841449133992
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,docstring,25,100,0.7,0.624,0.87,0.914,0.952,0.966,0.982,0.702,0.892,0.932,0.952,0.966,0.982,0.624,0.783600000000001,0.8399999999999995,0.896479999999999,0.9282800000000002,0.9527600000000013,0.702,0.8288000000000005,0.8771999999999994,0.9171199999999995,0.9386000000000001,0.957920000000001,0.624,0.7595040088457173,0.7735672931479954,0.7826706514971509,0.7853562741038338,0.7880053642611516,0.702,0.8091652394969755,0.8227553627289346,0.8276242345416285,0.8303098571483113,0.832958947305629,0.7308793830086369,0.7889785873440338
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,5,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.606,0.802,0.854,0.91,0.94,0.964,0.56,0.7096000000000007,0.7701999999999997,0.8406399999999992,0.8830799999999998,0.9199600000000011,0.606,0.7260000000000006,0.7783999999999999,0.8439199999999992,0.8847200000000001,0.9207800000000007,0.56,0.689565378578495,0.7059670928524917,0.7196159625544571,0.7253403570764084,0.7293211464045194,0.606,0.7118807158235267,0.7282824300975234,0.7419312997994888,0.7476556943214399,0.7516364836495512,0.6632334528149181,0.6930667861482512
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,variables,25,100,0.7,0.56,0.802,0.854,0.91,0.94,0.964,0.632,0.834,0.866,0.91,0.94,0.964,0.56,0.7096000000000007,0.7701999999999997,0.8406399999999992,0.8830799999999998,0.9199600000000011,0.632,0.7668000000000009,0.8095999999999997,0.8588799999999995,0.8921999999999997,0.9245200000000012,0.56,0.689565378578495,0.7059670928524917,0.7196159625544571,0.7253403570764084,0.7293211464045194,0.632,0.7453107489770935,0.7554545405214315,0.7661290263004412,0.7718534208223925,0.7758342101505037,0.6632334528149181,0.7232504021216499
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,5,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.296,0.398,0.49,0.584,0.688,0.8,0.22,0.31720000000000004,0.39160000000000017,0.4869600000000003,0.5687999999999999,0.65908,0.296,0.3604000000000001,0.41320000000000007,0.49560000000000043,0.5731199999999996,0.6612400000000003,0.22,0.31075847899959275,0.3412209209892309,0.3644310500867765,0.38470387831330743,0.40282534839671724,0.296,0.3521625494447451,0.3826249914343833,0.4058351205319287,0.42610794875845975,0.44422941884186956,0.3059339866010675,0.3605673199344009
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,functions,25,100,0.7,0.22,0.398,0.49,0.584,0.688,0.8,0.368,0.51,0.55,0.584,0.688,0.8,0.22,0.31720000000000004,0.39160000000000017,0.4869600000000003,0.5687999999999999,0.65908,0.368,0.4576000000000002,0.4994000000000001,0.5420000000000001,0.5963199999999997,0.6728400000000002,0.22,0.31075847899959275,0.3412209209892309,0.3644310500867765,0.38470387831330743,0.40282534839671724,0.368,0.44596361447572813,0.45931615099660555,0.46763055641317824,0.4879033846397093,0.5060248547231191,0.3059339866010675,0.43707056579235526
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,5,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.134,0.186,0.236,0.334,0.43,0.542,0.09,0.14639999999999995,0.18460000000000007,0.24943999999999975,0.3209999999999997,0.4073199999999999,0.134,0.16999999999999996,0.19640000000000002,0.25415999999999983,0.32335999999999987,0.40849999999999986,0.09,0.13978067270871627,0.156331439439982,0.18007733872958742,0.19871572646028898,0.21688201588851716,0.134,0.16380937658433897,0.1803601433156048,0.2041060426052102,0.2227444303359118,0.24091071976413997,0.141957855616225,0.1737245222828916
meta-llama/Llama-3.1-8B-Instruct,avsolatorio/GIST-large-Embedding-v0,both,25,100,0.7,0.09,0.186,0.236,0.334,0.43,0.542,0.184,0.29,0.314,0.334,0.43,0.542,0.09,0.14639999999999995,0.18460000000000007,0.24951999999999974,0.3210399999999996,0.40733999999999987,0.184,0.2499999999999999,0.2782000000000001,0.3091999999999998,0.3508799999999998,0.42225999999999997,0.09,0.13978067270871627,0.156331439439982,0.180084754658513,0.1987231423892146,0.21688943181744277,0.184,0.2414646184249941,0.24929871781250545,0.2545043061891018,0.27314269391980345,0.29130898334803157,0.14196311877411974,0.23443587205066607
