metric,normalization,value
original_preference_pct,docstring,1060.6
original_preference_pct,functions,848.6
original_preference_pct,variables,612.0
original_preference_pct,both,128.2
average_rank,none,47.10405409675483
average_rank,docstring,47.91855898924364
average_rank,functions,58.69169033213977
average_rank,variables,48.24817295980512
average_rank,both,62.75651392632525
median_rank,none,46.0
median_rank,docstring,47.0
median_rank,functions,61.0
median_rank,variables,47.5
median_rank,both,67.0
irrelevant_preference_pct,docstring,11.280412877856968
irrelevant_preference_pct,functions,34.61792424515277
irrelevant_preference_pct,variables,19.356002887160155
irrelevant_preference_pct,both,47.4433188615533
