metric,normalization,ranking,value
original_preference_pct,docstring,base,1060.6
original_preference_pct,functions,base,848.6
original_preference_pct,variables,base,612.0
original_preference_pct,both,base,128.2
original_preference_pct,docstring,reranked,1037.2
original_preference_pct,functions,reranked,840.8
original_preference_pct,variables,reranked,598.2
original_preference_pct,both,reranked,126.8
average_rank,none,base,47.10405409675483
average_rank,docstring,base,47.91855898924364
average_rank,functions,base,58.69169033213977
average_rank,variables,base,48.24817295980512
average_rank,both,base,62.75651392632525
average_rank,none,reranked,47.38468101241824
average_rank,docstring,reranked,47.17876045757214
average_rank,functions,reranked,58.5340165452525
average_rank,variables,reranked,47.36297198538368
average_rank,both,reranked,62.42946990116801
median_rank,none,base,46.0
median_rank,docstring,base,47.0
median_rank,functions,base,61.0
median_rank,variables,base,47.5
median_rank,both,base,67.0
median_rank,none,reranked,46.0
median_rank,docstring,reranked,47.0
median_rank,functions,reranked,61.0
median_rank,variables,reranked,47.5
median_rank,both,reranked,67.0
irrelevant_preference_pct,docstring,base,11.280412877856968
irrelevant_preference_pct,functions,base,34.61792424515277
irrelevant_preference_pct,variables,base,19.356002887160155
irrelevant_preference_pct,both,base,47.4433188615533
irrelevant_preference_pct,docstring,reranked,8.106589895727275
irrelevant_preference_pct,functions,reranked,31.07029233447386
irrelevant_preference_pct,variables,reranked,16.292405164808727
irrelevant_preference_pct,both,reranked,44.69368065605403
